meter_id,customer_id,region,date,consumption_kwh,cost
1071,112,North,2023-08-04,33.19,165.95
1052,170,North,2023-01-19,38.17,190.85
1044,53,East,2023-09-18,23.96,119.8
1061,27,South,2023-08-31,18.39,91.95
1060,167,South,2023-11-07,5.57,27.85
1043,99,South,2023-05-06,25.03,125.15
1044,24,East,2023-11-18,37.41,187.05
1024,130,East,2023-10-09,6.81,34.05
1070,36,South,2023-04-06,34.76,173.8
1056,190,South,2023-07-11,17.23,86.15
1006,75,East,2023-02-06,30.81,154.05
1027,119,South,2023-04-30,44.02,220.1
1067,14,East,2023-07-18,15.45,77.25
1015,132,South,2023-03-09,32.24,161.2
1100,78,East,2023-12-04,38.5,192.5
1099,116,South,2023-07-29,33.55,167.75
1043,51,West,2023-04-23,34.61,173.05
1062,149,West,2023-01-10,30.0,150.0
1025,20,South,2023-07-05,44.34,221.7
1094,183,East,2023-01-28,33.86,169.3
1086,32,South,2023-01-25,41.6,208.0
1002,167,West,2023-01-02,18.47,92.35
1067,194,South,2023-10-23,46.2,231.0
1079,86,North,2023-05-22,37.68,188.4
1062,198,South,2023-01-11,15.01,75.05
1094,159,West,2023-04-07,9.88,49.4
1008,9,North,2023-08-30,31.29,156.45
1022,90,West,2023-02-09,23.37,116.85
1037,95,North,2023-07-14,38.32,191.6
1093,132,South,2023-08-04,29.77,148.85
1054,126,North,2023-09-21,34.97,174.85
1003,59,North,2023-09-13,18.46,92.3
1053,179,South,2023-07-02,47.54,237.7
1057,118,East,2023-09-11,34.75,173.75
1016,15,East,2023-05-30,35.5,177.5
1019,139,West,2023-01-27,27.59,137.95
1025,22,North,2023-07-25,43.07,215.35
1082,3,East,2023-08-17,42.59,212.95
1081,191,East,2023-11-14,33.86,169.3
1049,173,North,2023-01-04,39.51,197.55
1007,147,East,2023-09-26,18.04,90.2
1094,197,North,2023-12-20,49.49,247.45
1077,6,South,2023-01-01,6.74,33.7
1094,90,East,2023-01-28,28.31,141.55
1041,88,North,2023-04-05,40.2,201.0
1091,123,West,2023-11-22,40.07,200.35
1100,26,South,2023-12-02,42.8,214.0
1053,15,South,2023-07-20,28.48,142.4
1085,135,West,2023-09-06,16.39,81.95
1068,87,North,2023-05-04,13.25,66.25
1094,120,East,2023-07-26,12.77,63.85
1030,7,West,2023-08-16,19.03,95.15
1039,79,West,2023-12-29,32.13,160.65
1056,50,West,2023-10-02,47.56,237.8
1058,106,South,2023-02-20,49.11,245.55
1004,9,North,2023-08-14,17.71,88.55
1093,94,South,2023-01-28,12.34,61.7
1033,30,West,2023-05-31,30.31,151.55
1028,3,North,2023-05-27,23.89,119.45
1014,168,West,2023-09-12,17.89,89.45
1002,36,South,2023-10-05,40.79,203.95
1028,25,North,2023-06-18,20.31,101.55
1043,143,North,2023-10-04,48.45,242.25
1036,49,South,2023-07-05,6.57,32.85
1028,157,South,2023-05-03,38.71,193.55
1100,72,South,2023-09-06,36.6,183.0
1015,3,East,2023-01-29,30.33,151.65
1012,42,East,2023-01-06,26.98,134.9
1081,146,East,2023-01-03,15.55,77.75
1090,113,West,2023-02-04,6.47,32.35
1053,74,South,2023-02-16,5.95,29.75
1092,198,South,2023-03-07,38.94,194.7
1085,180,North,2023-08-14,36.65,183.25
1066,96,South,2023-08-14,14.51,72.55
1031,138,West,2023-01-18,10.83,54.15
1069,190,North,2023-06-22,46.06,230.3
1053,134,North,2023-10-06,14.96,74.8
1032,133,South,2023-09-17,37.7,188.5
1001,151,North,2023-05-14,11.31,56.55
1100,193,South,2023-02-13,42.55,212.75
1004,39,North,2023-08-23,42.18,210.9
1051,46,South,2023-09-03,14.11,70.55
1071,62,West,2023-07-19,46.94,234.7
1093,109,South,2023-01-08,20.84,104.2
1088,200,North,2023-05-20,21.22,106.1
1012,82,South,2023-02-20,11.98,59.9
1059,20,North,2023-02-18,28.64,143.2
1087,119,West,2023-05-31,38.67,193.35
1021,195,South,2023-12-05,17.92,89.6
1019,129,South,2023-06-27,37.52,187.6
1034,35,East,2023-10-28,47.89,239.45
1002,29,East,2023-03-30,32.29,161.45
1050,119,South,2023-03-24,16.6,83.0
1020,153,North,2023-04-25,13.88,69.4
1028,4,South,2023-06-24,19.24,96.2
1085,68,West,2023-01-11,12.21,61.05
1025,82,West,2023-06-24,37.77,188.85
1073,68,South,2023-07-30,49.17,245.85
1056,29,South,2023-04-25,44.19,220.95
1066,68,East,2023-10-29,29.86,149.3
1010,24,West,2023-12-10,44.28,221.4
1058,6,North,2023-05-19,28.17,140.85
1012,164,South,2023-01-28,36.98,184.9
1097,55,East,2023-06-07,29.02,145.1
1070,121,East,2023-04-18,14.29,71.45
1004,79,East,2023-09-18,10.51,52.55
1001,22,West,2023-07-13,38.8,194.0
1012,137,South,2023-01-12,44.98,224.9
1058,72,West,2023-12-23,21.5,107.5
1082,44,East,2023-09-25,26.1,130.5
1079,45,West,2023-08-11,31.35,156.75
1012,29,West,2023-04-07,24.63,123.15
1026,105,East,2023-10-21,14.21,71.05
1054,157,East,2023-08-06,45.4,227.0
1081,126,West,2023-01-17,23.6,118.0
1023,26,South,2023-03-04,43.34,216.7
1001,83,South,2024-01-01,8.11,40.55
1087,103,South,2023-07-07,5.33,26.65
1032,148,South,2023-05-06,34.71,173.55
1080,153,North,2023-11-20,14.24,71.2
1070,139,South,2023-01-09,39.24,196.2
1058,111,North,2023-10-01,14.63,73.15
1057,184,West,2023-07-30,12.71,63.55
1058,61,East,2023-09-21,37.35,186.75
1089,137,North,2023-05-18,31.18,155.9
1097,123,West,2023-06-04,25.43,127.15
1010,168,North,2023-12-26,23.01,115.05
1049,44,West,2023-06-14,41.36,206.8
1056,197,North,2023-03-26,10.76,53.8
1039,44,South,2023-07-12,8.54,42.7
1060,129,West,2023-04-24,42.88,214.4
1021,199,North,2023-04-15,6.8,34.0
1008,137,South,2023-07-02,35.01,175.05
1063,185,North,2023-01-16,48.23,241.15
1064,90,South,2023-09-22,15.15,75.75
1017,14,South,2023-01-26,20.28,101.4
1018,135,North,2023-04-04,10.19,50.95
1031,132,West,2023-03-20,28.36,141.8
1020,161,West,2023-12-03,23.46,117.3
1062,111,West,2023-01-18,20.51,102.55
1098,22,East,2023-03-04,13.36,66.8
1023,172,South,2023-01-20,8.65,43.25
1006,2,South,2023-09-02,5.42,27.1
1036,5,West,2023-05-04,15.78,78.9
1046,125,West,2023-10-12,30.2,151.0
1031,96,West,2023-09-24,44.87,224.35
1092,51,South,2023-08-13,18.13,90.65
1044,23,North,2023-08-27,38.38,191.9
1053,4,South,2023-02-22,20.2,101.0
1089,91,West,2023-11-20,22.98,114.9
1036,120,North,2023-07-10,45.3,226.5
1010,117,South,2023-04-03,9.09,45.45
1100,108,East,2023-03-04,19.0,95.0
1047,123,South,2023-03-19,29.25,146.25
1079,155,East,2023-06-09,19.57,97.85
1065,32,East,2023-10-07,34.98,174.9
1015,60,West,2023-02-12,34.49,172.45
1066,137,West,2023-12-06,18.23,91.15
1090,133,South,2023-12-14,19.7,98.5
1009,113,East,2023-01-13,40.28,201.4
1094,138,South,2023-12-09,6.66,33.3
1003,199,West,2023-06-22,28.89,144.45
1064,114,West,2023-07-01,5.43,27.15
1040,16,East,2023-08-11,8.8,44.0
1023,88,North,2023-02-09,40.97,204.85
1050,131,East,2023-11-12,43.48,217.4
1065,30,North,2023-09-01,20.67,103.35
1063,140,North,2023-03-10,11.53,57.65
1099,41,South,2023-11-15,16.96,84.8
1059,85,North,2023-03-05,25.67,128.35
1056,165,East,2023-08-18,24.71,123.55
1080,26,East,2023-05-25,31.59,157.95
1098,8,East,2023-01-01,47.58,237.9
1073,165,North,2023-10-09,43.76,218.8
1055,47,North,2023-08-02,32.57,162.85
1033,93,South,2023-03-04,12.59,62.95
1026,122,South,2023-12-29,48.38,241.9
1055,184,South,2023-01-11,47.81,239.05
1038,48,South,2023-05-11,7.09,35.45
1062,127,East,2023-04-06,15.06,75.3
1075,152,North,2023-06-20,7.45,37.25
1094,8,South,2023-05-12,36.71,183.55
1035,47,North,2023-04-15,21.29,106.45
1012,100,East,2023-04-04,6.1,30.5
1066,85,South,2023-02-05,37.73,188.65
1087,73,East,2023-06-25,46.35,231.75
1023,10,South,2023-04-01,6.3,31.5
1076,34,North,2023-07-27,18.52,92.6
1025,117,South,2023-10-16,18.72,93.6
1019,87,West,2023-07-30,23.67,118.35
1068,39,South,2023-07-19,46.67,233.35
1063,193,South,2023-12-18,18.61,93.05
1074,152,East,2023-07-06,28.11,140.55
1097,152,North,2023-08-30,47.61,238.05
1004,92,North,2023-03-06,13.67,68.35
1040,21,South,2023-07-18,12.42,62.1
1095,18,West,2023-08-23,7.75,38.75
1029,108,East,2023-02-07,17.33,86.65
1002,29,North,2023-03-23,45.47,227.35
1027,43,East,2023-08-23,22.96,114.8
1075,179,South,2023-08-29,30.07,150.35
1029,74,North,2023-04-03,32.48,162.4
1029,39,South,2023-08-26,24.52,122.6
1020,1,West,2023-06-11,23.78,118.9
1050,197,East,2023-03-30,45.77,228.85
1085,34,South,2023-07-02,39.56,197.8
1014,59,North,2023-01-22,34.71,173.55
1001,97,North,2023-03-20,8.14,40.7
1042,66,West,2023-03-16,17.23,86.15
1037,88,East,2023-03-09,11.09,55.45
1075,15,East,2023-08-25,49.42,247.1
1095,132,South,2023-10-09,13.87,69.35
1078,7,West,2023-06-01,22.73,113.65
1021,197,North,2023-10-22,22.59,112.95
1007,144,West,2023-08-02,8.68,43.4
1090,197,West,2023-01-15,28.02,140.1
1091,34,East,2023-03-13,23.37,116.85
1011,121,West,2023-05-03,42.75,213.75
1045,128,East,2023-11-20,37.02,185.1
1004,83,South,2023-09-10,5.6,28.0
1040,94,North,2023-08-05,23.87,119.35
1039,25,West,2023-03-07,43.93,219.65
1048,101,North,2023-05-09,30.28,151.4
1072,175,West,2023-10-27,42.2,211.0
1065,133,South,2023-11-15,40.67,203.35
1076,107,North,2023-09-03,27.84,139.2
1100,11,East,2023-09-30,20.49,102.45
1086,62,North,2023-01-25,41.88,209.4
1079,131,North,2023-01-12,29.07,145.35
1001,124,West,2023-10-25,49.59,247.95
1020,99,South,2023-06-29,10.9,54.5
1100,46,West,2023-06-23,17.65,88.25
1032,90,East,2023-07-21,39.05,195.25
1024,82,North,2023-09-15,48.66,243.3
1008,134,West,2023-03-25,43.8,219.0
1079,178,West,2023-04-20,20.62,103.1
1024,188,South,2023-08-30,15.3,76.5
1079,179,West,2023-04-01,19.64,98.2
1050,152,East,2023-09-19,28.02,140.1
1017,67,South,2023-03-23,32.81,164.05
1075,75,North,2023-10-30,10.16,50.8
1009,55,West,2023-08-30,14.71,73.55
1020,57,North,2023-12-06,40.54,202.7
1032,161,South,2023-08-07,13.45,67.25
1015,96,North,2023-09-24,37.08,185.4
1083,75,West,2023-03-16,38.81,194.05
1080,46,West,2023-07-25,17.52,87.6
1074,42,South,2023-08-24,5.1,25.5
1081,61,East,2023-05-18,29.56,147.8
1076,116,South,2023-08-29,33.55,167.75
1056,118,North,2023-12-29,10.39,51.95
1029,121,West,2023-09-03,30.68,153.4
1015,115,North,2023-10-27,13.65,68.25
1094,110,South,2023-02-25,29.97,149.85
1069,115,West,2023-06-15,30.24,151.2
1052,166,West,2023-08-07,13.43,67.15
1061,146,South,2023-05-02,14.38,71.9
1043,11,East,2023-04-18,19.47,97.35
1053,189,West,2023-01-19,12.54,62.7
1019,82,East,2023-07-15,19.26,96.3
1086,5,South,2023-09-09,26.44,132.2
1029,120,North,2023-06-28,11.98,59.9
1036,184,East,2023-05-25,6.35,31.75
1087,119,East,2023-06-25,9.98,49.9
1092,5,East,2023-03-09,20.5,102.5
1062,10,East,2023-08-20,27.59,137.95
1090,126,North,2023-10-13,46.29,231.45
1050,199,South,2024-01-01,28.71,143.55
1093,151,East,2023-10-17,26.17,130.85
1073,145,East,2023-05-11,29.52,147.6
1029,136,West,2023-06-24,46.2,231.0
1040,118,South,2023-04-29,10.48,52.4
1088,67,North,2023-03-11,23.27,116.35
1012,98,East,2023-11-10,30.61,153.05
1058,138,South,2023-04-22,34.91,174.55
1088,161,West,2023-01-01,18.59,92.95
1052,156,West,2023-12-17,19.21,96.05
1028,21,West,2023-08-15,30.97,154.85
1029,160,East,2023-10-14,37.71,188.55
1057,65,West,2023-07-29,20.74,103.7
1091,32,South,2023-01-01,27.23,136.15
1072,165,South,2023-04-20,45.09,225.45
1024,134,South,2023-10-11,41.03,205.15
1059,182,North,2023-08-28,48.18,240.9
1072,19,North,2023-06-07,38.12,190.6
1002,53,North,2023-02-17,49.45,247.25
1070,66,North,2023-07-03,43.97,219.85
1087,111,South,2023-11-30,43.61,218.05
1021,136,North,2023-05-14,40.75,203.75
1072,2,South,2023-11-23,43.41,217.05
1013,131,North,2023-03-11,41.68,208.4
1092,80,East,2023-06-30,46.72,233.6
1022,137,South,2023-03-02,42.42,212.1
1054,183,North,2023-06-02,9.15,45.75
1002,91,South,2023-10-24,27.34,136.7
1000,3,North,2023-11-22,30.8,154.0
1075,118,West,2023-04-14,29.58,147.9
1029,116,North,2023-02-15,36.32,181.6
1038,60,South,2023-03-25,26.23,131.15
1020,122,East,2023-02-26,32.5,162.5
1013,160,North,2023-07-31,35.61,178.05
1022,117,East,2023-06-23,41.33,206.65
1021,140,East,2023-03-22,30.56,152.8
1026,164,East,2023-02-11,41.01,205.05
1048,146,West,2023-12-07,17.01,85.05
1052,196,South,2023-05-11,46.91,234.55
1087,154,North,2023-07-11,16.88,84.4
1053,73,North,2023-01-27,29.13,145.65
1087,151,North,2023-04-21,44.19,220.95
1041,154,East,2023-09-20,30.49,152.45
1070,127,North,2023-08-04,12.77,63.85
1070,107,South,2023-10-02,47.1,235.5
1080,170,South,2023-02-21,15.15,75.75
1002,58,West,2023-01-06,9.38,46.9
1035,52,South,2023-07-12,5.55,27.75
1052,52,West,2023-04-30,46.47,232.35
1082,190,North,2023-03-10,8.26,41.3
1050,132,North,2023-06-02,31.97,159.85
1000,58,West,2023-08-20,37.93,189.65
1001,136,South,2023-05-26,34.64,173.2
1029,194,East,2023-11-01,26.61,133.05
1082,94,North,2023-11-03,12.43,62.15
1004,16,South,2023-08-20,43.8,219.0
1082,154,East,2023-02-12,10.66,53.3
1050,65,South,2023-12-05,16.08,80.4
1095,150,North,2023-09-06,6.69,33.45
1070,179,North,2023-10-23,26.49,132.45
1072,111,North,2023-06-21,22.73,113.65
1021,192,West,2023-11-15,6.14,30.7
1007,151,West,2023-02-04,42.25,211.25
1079,80,South,2023-09-12,45.66,228.3
1035,176,South,2023-11-28,32.41,162.05
1097,34,North,2023-04-13,18.3,91.5
1031,154,West,2023-09-15,32.87,164.35
1036,147,West,2023-10-16,11.34,56.7
1015,76,West,2023-01-12,30.4,152.0
1073,160,South,2023-04-18,6.78,33.9
1075,118,South,2023-04-23,18.28,91.4
1082,85,North,2023-10-21,40.82,204.1
1002,38,East,2023-03-04,21.25,106.25
1025,132,East,2023-07-12,24.21,121.05
1073,1,East,2023-01-28,33.58,167.9
1078,196,South,2023-03-03,34.31,171.55
1050,8,North,2023-05-28,29.64,148.2
1067,27,North,2023-03-24,8.07,40.35
1085,152,East,2023-08-31,20.45,102.25
1017,145,West,2023-06-29,9.25,46.25
1020,167,North,2023-11-08,31.32,156.6
1072,176,East,2023-04-12,26.91,134.55
1079,134,East,2023-12-13,12.59,62.95
1025,7,South,2023-08-30,48.74,243.7
1032,59,West,2023-06-15,34.91,174.55
1002,90,East,2023-03-06,48.78,243.9
1029,3,East,2023-01-22,39.72,198.6
1056,187,East,2023-02-02,15.17,75.85
1092,156,East,2023-05-15,35.3,176.5
1023,144,South,2023-05-11,10.21,51.05
1044,158,North,2023-10-18,8.58,42.9
1099,119,North,2023-02-14,25.74,128.7
1043,23,South,2023-11-11,7.29,36.45
1035,10,South,2023-02-23,35.69,178.45
1001,166,West,2023-06-18,21.99,109.95
1020,110,East,2023-11-06,48.01,240.05
1010,192,East,2023-08-14,39.9,199.5
1047,37,South,2023-11-05,9.16,45.8
1022,118,West,2023-04-16,11.72,58.6
1082,27,East,2023-09-22,6.15,30.75
1094,36,West,2023-02-25,43.18,215.9
1047,73,South,2023-12-17,47.14,235.7
1015,77,West,2023-08-14,8.49,42.45
1062,68,West,2023-08-31,35.18,175.9
1053,92,East,2023-07-12,37.29,186.45
1073,89,North,2023-06-08,8.97,44.85
1085,181,East,2023-04-26,41.81,209.05
1048,121,South,2023-10-24,21.65,108.25
1073,123,North,2023-12-02,38.15,190.75
1037,97,East,2023-06-06,14.25,71.25
1021,8,South,2023-09-04,46.37,231.85
1100,154,South,2023-07-13,35.58,177.9
1062,34,East,2023-08-03,23.44,117.2
1017,189,South,2023-03-29,21.22,106.1
1028,160,South,2023-01-20,28.34,141.7
1076,8,South,2023-11-15,37.67,188.35
1073,101,West,2023-06-29,10.83,54.15
1069,70,South,2023-05-14,16.35,81.75
1061,199,East,2023-09-04,34.76,173.8
1059,173,North,2023-06-23,18.53,92.65
1017,92,South,2023-03-09,48.97,244.85
1073,183,East,2023-03-21,10.95,54.75
1017,127,North,2023-05-10,29.14,145.7
1095,178,East,2023-01-23,35.32,176.6
1096,189,East,2023-04-18,45.34,226.7
1016,154,South,2023-01-24,11.79,58.95
1083,72,North,2023-07-02,33.02,165.1
1043,37,North,2023-08-11,40.18,200.9
1032,70,South,2023-07-20,9.01,45.05
1074,90,South,2023-03-14,38.36,191.8
1084,47,North,2023-05-01,8.08,40.4
1028,12,North,2023-12-05,24.42,122.1
1026,70,West,2023-01-06,8.52,42.6
1042,110,South,2023-08-01,11.73,58.65
1017,48,East,2023-07-01,27.16,135.8
1035,171,East,2023-07-26,5.63,28.15
1039,24,South,2023-01-25,47.35,236.75
1079,110,South,2023-06-12,14.26,71.3
1065,190,West,2023-03-03,26.31,131.55
1070,81,West,2023-11-21,35.66,178.3
1054,187,South,2023-06-11,45.35,226.75
1077,78,East,2023-10-08,42.71,213.55
1041,14,North,2023-03-05,15.5,77.5
1006,52,South,2023-12-21,43.19,215.95
1071,196,West,2023-09-17,6.18,30.9
1072,68,East,2023-12-01,46.42,232.1
1046,67,North,2023-06-22,13.02,65.1
1069,160,North,2023-03-07,15.3,76.5
1100,101,North,2023-06-13,27.67,138.35
1084,171,West,2023-03-17,48.15,240.75
1046,23,North,2023-12-02,12.76,63.8
1006,61,East,2023-04-01,11.32,56.6
1084,127,East,2023-03-26,40.16,200.8
1088,191,North,2023-04-26,43.1,215.5
1018,110,South,2023-12-30,41.59,207.95
1025,142,West,2023-01-05,46.1,230.5
1083,85,East,2023-07-18,41.3,206.5
1054,42,South,2023-02-07,6.83,34.15
1029,116,East,2023-09-23,37.63,188.15
1045,126,South,2023-06-23,12.03,60.15
1098,50,South,2023-02-21,46.88,234.4
1050,4,West,2023-04-09,48.86,244.3
1007,109,East,2023-09-05,38.21,191.05
1091,1,North,2023-07-24,15.6,78.0
1099,123,East,2023-07-14,5.63,28.15
1027,73,East,2023-04-05,22.51,112.55
1067,62,South,2023-08-16,34.33,171.65
1035,74,North,2023-06-09,12.3,61.5
1064,18,West,2023-08-13,21.09,105.45
1016,84,West,2023-04-14,28.4,142.0
1099,158,West,2023-04-15,9.87,49.35
1032,16,West,2023-04-05,48.15,240.75
1036,83,East,2023-12-27,46.58,232.9
1098,38,South,2023-01-23,49.52,247.6
1098,150,East,2023-05-30,37.91,189.55
1086,178,South,2023-03-18,18.98,94.9
1078,63,West,2023-08-07,17.47,87.35
1013,32,East,2023-11-06,22.5,112.5
1019,195,East,2023-11-28,10.81,54.05
1004,139,West,2023-06-24,9.52,47.6
1016,20,South,2023-05-06,22.2,111.0
1027,34,West,2023-02-02,22.19,110.95
1099,175,South,2023-01-26,22.4,112.0
1023,34,West,2023-10-15,13.64,68.2
1060,133,North,2023-01-14,18.36,91.8
1072,170,East,2023-07-08,14.9,74.5
1007,56,South,2023-12-07,10.49,52.45
1052,68,West,2023-11-17,45.38,226.9
1045,76,East,2023-11-07,47.62,238.1
1050,69,East,2023-12-01,42.34,211.7
1017,155,West,2023-12-15,39.5,197.5
1028,31,West,2023-02-02,38.99,194.95
1093,84,South,2023-11-28,14.74,73.7
1080,35,North,2023-01-29,18.62,93.1
1096,165,South,2023-09-20,41.37,206.85
1015,40,North,2023-12-09,44.55,222.75
1057,79,North,2023-02-08,8.4,42.0
1037,192,South,2023-02-08,29.47,147.35
1038,199,North,2023-06-03,36.57,182.85
1075,115,East,2023-08-02,21.56,107.8
1084,98,West,2023-10-04,30.77,153.85
1049,123,East,2023-08-21,24.92,124.6
1078,43,South,2023-05-13,40.12,200.6
1083,15,South,2023-04-07,6.07,30.35
1092,54,South,2023-07-21,42.43,212.15
1058,140,East,2023-10-13,11.72,58.6
1093,141,North,2023-07-13,7.35,36.75
1021,87,East,2023-07-30,46.32,231.6
1015,36,West,2023-02-10,25.57,127.85
1020,19,North,2023-11-02,35.07,175.35
1087,200,South,2023-01-05,9.71,48.55
1012,161,West,2023-01-30,43.76,218.8
1030,42,West,2023-01-06,5.58,27.9
1012,25,South,2023-06-28,34.2,171.0
1003,136,East,2023-12-06,41.53,207.65
1041,142,North,2023-01-11,7.0,35.0
1019,52,North,2023-11-11,18.33,91.65
1088,141,West,2023-08-07,17.85,89.25
1091,196,North,2023-01-14,31.23,156.15
1042,19,East,2023-10-06,26.33,131.65
1099,178,East,2023-04-08,48.55,242.75
1033,121,East,2023-09-10,34.56,172.8
1091,70,South,2023-05-31,45.7,228.5
1094,58,South,2023-02-04,40.67,203.35
1020,42,South,2023-09-07,49.11,245.55
1069,179,South,2023-06-19,22.86,114.3
1060,102,North,2023-10-07,19.56,97.8
1020,152,West,2023-07-30,32.39,161.95
1046,140,West,2023-08-16,11.52,57.6
1027,180,North,2023-08-14,37.88,189.4
1038,186,North,2023-10-13,24.16,120.8
1090,48,West,2023-08-26,42.94,214.7
1014,81,North,2023-04-09,19.88,99.4
1077,64,West,2023-12-28,9.96,49.8
1059,194,South,2023-01-13,30.89,154.45
1028,14,West,2023-05-02,10.06,50.3
1011,120,East,2023-03-03,26.13,130.65
1074,94,East,2023-04-22,19.98,99.9
1063,30,East,2023-03-15,13.55,67.75
1094,71,East,2023-06-28,45.14,225.7
1060,99,North,2023-12-22,44.84,224.2
1020,45,West,2023-09-01,42.4,212.0
1004,159,North,2023-04-19,28.98,144.9
1002,27,East,2023-04-23,31.87,159.35
1094,102,South,2023-11-03,20.86,104.3
1087,67,North,2023-05-27,47.39,236.95
1041,148,East,2023-06-17,15.62,78.1
1005,128,West,2023-06-30,6.27,31.35
1044,73,South,2023-02-22,9.96,49.8
1009,145,South,2023-01-14,23.92,119.6
1029,68,West,2023-01-02,19.25,96.25
1097,15,South,2023-07-27,13.04,65.2
1057,195,South,2023-07-15,27.57,137.85
1044,177,East,2023-01-19,9.38,46.9
1084,24,East,2023-07-22,25.83,129.15
1082,107,West,2023-05-13,21.61,108.05
1062,21,North,2023-04-26,18.76,93.8
1047,176,South,2023-03-09,33.48,167.4
1067,94,North,2023-12-20,23.12,115.6
1008,94,East,2023-07-09,28.17,140.85
1002,31,North,2023-06-05,7.25,36.25
1093,116,North,2023-04-02,9.14,45.7
1027,52,East,2023-04-30,27.29,136.45
1027,200,East,2023-05-18,35.22,176.1
1073,67,North,2023-06-15,19.53,97.65
1011,124,East,2023-08-24,19.06,95.3
1044,164,South,2023-07-21,30.05,150.25
1052,57,West,2023-04-05,45.42,227.1
1045,31,East,2023-10-20,16.27,81.35
1042,5,East,2023-05-29,10.96,54.8
1022,86,South,2023-06-29,39.49,197.45
1055,77,North,2023-01-20,48.23,241.15
1034,164,North,2023-06-28,35.45,177.25
1092,129,West,2023-11-04,23.14,115.7
1059,46,West,2023-09-21,31.06,155.3
1034,34,East,2023-04-29,18.32,91.6
1075,15,South,2023-11-16,22.61,113.05
1054,70,North,2023-09-28,5.19,25.95
1080,181,West,2023-09-25,15.64,78.2
1085,81,West,2023-04-19,23.56,117.8
1059,47,East,2023-07-18,12.4,62.0
1097,56,West,2023-09-26,15.92,79.6
1040,107,South,2023-04-12,13.72,68.6
1033,109,North,2023-01-23,37.5,187.5
1035,17,South,2023-02-04,9.4,47.0
1008,48,West,2023-10-22,42.42,212.1
1043,154,North,2023-04-18,46.3,231.5
1096,94,West,2023-08-08,34.36,171.8
1027,35,West,2023-07-27,20.8,104.0
1080,163,South,2023-07-30,34.39,171.95
1063,115,South,2023-09-29,35.13,175.65
1021,64,South,2023-06-20,27.47,137.35
1094,14,South,2023-08-01,9.12,45.6
1084,35,East,2023-09-18,14.09,70.45
1010,82,South,2023-03-14,48.89,244.45
1051,24,North,2023-10-12,33.47,167.35
1053,107,West,2023-09-19,40.34,201.7
1015,152,West,2023-07-01,37.21,186.05
1089,178,East,2023-01-31,8.06,40.3
1074,137,West,2023-03-03,20.3,101.5
1059,157,West,2023-01-06,26.47,132.35
1058,128,North,2023-07-19,28.74,143.7
1072,32,South,2023-03-12,28.48,142.4
1047,35,North,2023-11-22,29.29,146.45
1017,123,South,2023-12-30,22.96,114.8
1069,132,West,2023-07-25,7.56,37.8
